epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,687.99,1.65497,1.53623,1.16075,0.7457,0.56293,0.66088,0.38019,1.41472,1.30155,1.09746,0.000665559,0.000665559,0.000665559
2,1373.58,1.61933,1.22333,1.15785,0.74139,0.55436,0.63873,0.35784,1.48725,1.17697,1.1201,0.00126628,0.00126628,0.00126628
3,2057.26,1.58107,1.11891,1.14515,0.7795,0.59568,0.68942,0.38987,1.45488,1.10162,1.11922,0.001801,0.001801,0.001801
4,2745.49,1.55627,1.05244,1.13597,0.77408,0.58386,0.69205,0.38499,1.48618,1.02414,1.10848,0.001703,0.001703,0.001703
5,3428.76,1.53912,0.99752,1.12346,0.78579,0.60638,0.7085,0.40735,1.42716,0.95448,1.1001,0.001604,0.001604,0.001604
6,4126.37,1.51328,0.9572,1.10758,0.7903,0.58803,0.69159,0.40394,1.41386,0.99858,1.09841,0.001505,0.001505,0.001505
7,4817.07,1.48643,0.92189,1.09923,0.81114,0.63237,0.73483,0.4353,1.35286,0.89367,1.07515,0.001406,0.001406,0.001406
8,5536.09,1.46279,0.89082,1.09009,0.80974,0.62561,0.72434,0.42531,1.38846,0.87385,1.08821,0.001307,0.001307,0.001307
9,6250.82,1.44019,0.86429,1.08285,0.82519,0.6572,0.75499,0.44502,1.34758,0.85233,1.06007,0.001208,0.001208,0.001208
10,6963.3,1.44312,0.85199,1.08314,0.82549,0.66016,0.75776,0.45504,1.33615,0.84861,1.06222,0.001109,0.001109,0.001109
11,7681.72,1.39778,0.80005,1.06629,0.82416,0.64368,0.74305,0.43747,1.35858,0.86811,1.06006,0.00101,0.00101,0.00101
12,8390.95,1.37803,0.775,1.06037,0.82363,0.67099,0.7624,0.44972,1.36496,0.82657,1.06398,0.000911,0.000911,0.000911
13,9111.74,1.36018,0.75451,1.05171,0.83228,0.65395,0.76216,0.45431,1.34106,0.82236,1.05971,0.000812,0.000812,0.000812
14,9840.39,1.34403,0.74109,1.04451,0.81336,0.6743,0.76359,0.46489,1.29046,0.80674,1.03952,0.000713,0.000713,0.000713
15,10568.1,1.33559,0.7332,1.03888,0.83527,0.66751,0.76747,0.46519,1.29716,0.7956,1.03926,0.000614,0.000614,0.000614
16,11262.6,1.31338,0.70845,1.03479,0.83127,0.67845,0.77928,0.47161,1.30639,0.77407,1.03849,0.000515,0.000515,0.000515
17,11976.5,1.29782,0.69611,1.02542,0.84309,0.67285,0.77559,0.46355,1.3356,0.77736,1.04623,0.000416,0.000416,0.000416
18,12704,1.27772,0.67519,1.01842,0.84268,0.68623,0.78455,0.48144,1.28379,0.7511,1.02934,0.000317,0.000317,0.000317
19,13517.6,1.26673,0.66369,1.01442,0.84619,0.67623,0.77762,0.47054,1.31309,0.76172,1.03808,0.000218,0.000218,0.000218
20,14217.9,1.24958,0.65199,1.009,0.85236,0.68761,0.79058,0.48449,1.27521,0.73313,1.02614,0.000119,0.000119,0.000119
